 | Qmax: -1.3746
| Reward: -5 | Episode: 11190 | Qmax: -1.3750
| Reward: -5 | Episode: 11191 | Qmax: -1.3693
| Reward: -5 | Episode: 11192 | Qmax: -1.3606
| Reward: -5 | Episode: 11193 | Qmax: -1.3750
| Reward: -5 | Episode: 11194 | Qmax: -1.3673
| Reward: -5 | Episode: 11195 | Qmax: -1.3688
| Reward: -5 | Episode: 11196 | Qmax: -1.3720
| Reward: -5 | Episode: 11197 | Qmax: -1.3716
| Reward: -5 | Episode: 11198 | Qmax: -1.3677
| Reward: -5 | Episode: 11199 | Qmax: -1.3707
| Reward: -5 | Episode: 11200 | Qmax: -1.3660
| Reward: -5 | Episode: 11201 | Qmax: -1.3706
| Reward: -5 | Episode: 11202 | Qmax: -1.3688
| Reward: -5 | Episode: 11203 | Qmax: -1.3712
| Reward: -5 | Episode: 11204 | Qmax: -1.3716
| Reward: -5 | Episode: 11205 | Qmax: -1.3675
| Reward: -5 | Episode: 11206 | Qmax: -1.3638
| Reward: -5 | Episode: 11207 | Qmax: -1.3682
| Reward: -5 | Episode: 11208 | Qmax: -1.3703
| Reward: -5 | Episode: 11209 | Qmax: -1.3653
| Reward: -5 | Episode: 11210 | Qmax: -1.3665
| Reward: -5 | Episode: 11211 | Qmax: -1.3683
| Reward: -5 | Episode: 11212 | Qmax: -1.3697
| Reward: -5 | Episode: 11213 | Qmax: -1.3686
| Reward: -5 | Episode: 11214 | Qmax: -1.3713
| Reward: -5 | Episode: 11215 | Qmax: -1.3710
| Reward: -5 | Episode: 11216 | Qmax: -1.3668
| Reward: -5 | Episode: 11217 | Qmax: -1.3707
| Reward: -5 | Episode: 11218 | Qmax: -1.3683
| Reward: -5 | Episode: 11219 | Qmax: -1.3662
| Reward: -5 | Episode: 11220 | Qmax: -1.3679
| Reward: -5 | Episode: 11221 | Qmax: -1.3696
| Reward: -5 | Episode: 11222 | Qmax: -1.3680
| Reward: -5 | Episode: 11223 | Qmax: -1.3761
| Reward: -5 | Episode: 11224 | Qmax: -1.3723
| Reward: -5 | Episode: 11225 | Qmax: -1.3728
| Reward: -5 | Episode: 11226 | Qmax: -1.3629
| Reward: -5 | Episode: 11227 | Qmax: -1.3703
| Reward: -5 | Episode: 11228 | Qmax: -1.3659
| Reward: -5 | Episode: 11229 | Qmax: -1.3668
| Reward: -5 | Episode: 11230 | Qmax: -1.3661
| Reward: -5 | Episode: 11231 | Qmax: -1.3744
| Reward: -5 | Episode: 11232 | Qmax: -1.3714
| Reward: -5 | Episode: 11233 | Qmax: -1.3665
| Reward: -5 | Episode: 11234 | Qmax: -1.3722
| Reward: -5 | Episode: 11235 | Qmax: -1.3572
| Reward: -5 | Episode: 11236 | Qmax: -1.3652
| Reward: -5 | Episode: 11237 | Qmax: -1.3658
| Reward: -5 | Episode: 11238 | Qmax: -1.3697
| Reward: -5 | Episode: 11239 | Qmax: -1.3670
| Reward: -5 | Episode: 11240 | Qmax: -1.3652
| Reward: -5 | Episode: 11241 | Qmax: -1.3708
| Reward: -5 | Episode: 11242 | Qmax: -1.3671
| Reward: -5 | Episode: 11243 | Qmax: -1.3616
| Reward: -5 | Episode: 11244 | Qmax: -1.3667
| Reward: -5 | Episode: 11245 | Qmax: -1.3650
| Reward: -5 | Episode: 11246 | Qmax: -1.3724
| Reward: -5 | Episode: 11247 | Qmax: -1.3651
| Reward: -5 | Episode: 11248 | Qmax: -1.3647
| Reward: -5 | Episode: 11249 | Qmax: -1.3670
| Reward: -5 | Episode: 11250 | Qmax: -1.3671
| Reward: -5 | Episode: 11251 | Qmax: -1.3691
| Reward: -5 | Episode: 11252 | Qmax: -1.3654
| Reward: -5 | Episode: 11253 | Qmax: -1.3638
| Reward: -5 | Episode: 11254 | Qmax: -1.3682
| Reward: -5 | Episode: 11255 | Qmax: -1.3679
| Reward: -5 | Episode: 11256 | Qmax: -1.3684
| Reward: -5 | Episode: 11257 | Qmax: -1.3635
| Reward: -5 | Episode: 11258 | Qmax: -1.3605
| Reward: -5 | Episode: 11259 | Qmax: -1.3604
| Reward: -5 | Episode: 11260 | Qmax: -1.3665
| Reward: -5 | Episode: 11261 | Qmax: -1.3634
| Reward: -5 | Episode: 11262 | Qmax: -1.3675
| Reward: -5 | Episode: 11263 | Qmax: -1.3677
| Reward: -5 | Episode: 11264 | Qmax: -1.3628
| Reward: -5 | Episode: 11265 | Qmax: -1.3711
| Reward: -4 | Episode: 11266 | Qmax: -1.3666
| Reward: -5 | Episode: 11267 | Qmax: -1.3676
| Reward: -5 | Episode: 11268 | Qmax: -1.3647
| Reward: -5 | Episode: 11269 | Qmax: -1.3653
| Reward: -5 | Episode: 11270 | Qmax: -1.3674
| Reward: -5 | Episode: 11271 | Qmax: -1.3683
| Reward: -5 | Episode: 11272 | Qmax: -1.3706
| Reward: -5 | Episode: 11273 | Qmax: -1.3715
| Reward: -5 | Episode: 11274 | Qmax: -1.3740
| Reward: -5 | Episode: 11275 | Qmax: -1.3659
| Reward: -5 | Episode: 11276 | Qmax: -1.3658
| Reward: -5 | Episode: 11277 | Qmax: -1.3685
| Reward: -5 | Episode: 11278 | Qmax: -1.3652
| Reward: -5 | Episode: 11279 | Qmax: -1.3705
| Reward: -5 | Episode: 11280 | Qmax: -1.3680
| Reward: -5 | Episode: 11281 | Qmax: -1.3693
| Reward: -5 | Episode: 11282 | Qmax: -1.3615
| Reward: -5 | Episode: 11283 | Qmax: -1.3670
| Reward: -5 | Episode: 11284 | Qmax: -1.3669
| Reward: -5 | Episode: 11285 | Qmax: -1.3644
| Reward: -5 | Episode: 11286 | Qmax: -1.3670
| Reward: -5 | Episode: 11287 | Qmax: -1.3708
| Reward: -5 | Episode: 11288 | Qmax: -1.3606
| Reward: -5 | Episode: 11289 | Qmax: -1.3665
| Reward: -5 | Episode: 11290 | Qmax: -1.3665
| Reward: -5 | Episode: 11291 | Qmax: -1.3690
| Reward: -5 | Episode: 11292 | Qmax: -1.3720
| Reward: -5 | Episode: 11293 | Qmax: -1.3647
| Reward: -5 | Episode: 11294 | Qmax: -1.3690
| Reward: -5 | Episode: 11295 | Qmax: -1.3653
| Reward: -5 | Episode: 11296 | Qmax: -1.3712
| Reward: -5 | Episode: 11297 | Qmax: -1.3650
| Reward: -5 | Episode: 11298 | Qmax: -1.3650
| Reward: -5 | Episode: 11299 | Qmax: -1.3732
